Command,MV1,MV2,MV3,MV4,MV5,MV6,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,P1,P2,P3,P4,P5,P6,P7(A&B),P8,HP1 COMPRESSOR,HP1 REVERSE,HP2 HEAT,HP2 COOL,B-1,FAN COIL
S1 S ->DHW,X,X,X,X,X,X,C,C,X,X,O,X,X,X,C,C,C,C,C,X,X,C,O,C,O,C,X,X,X,X,X,X,X,X,X,,,EN,,,,,,,,,,,
S2 S-> BUF(Win),X,X,X,X,X,X,C,C,X,X,O,X,X,X,C,C,C,C,O,C,C,O,C,C,C,C,X,X,X,X,X,X,X,X,X,,,EN,,,,,,,,,,,
S3 S-> GEO,C,C,X,O,O,C,O,O,C,C,C,X,X,X,C,C,C,X,C,X,X,X,C,C,X,C,X,X,X,X,X,X,X,X,O,,,,,,,EN,,,,,,,
S4 S->DUMP,O,O,C,X,X,X,O,O,X,X,C,X,X,X,C,C,C,X,C,X,X,X,C,C,X,C,X,X,X,X,X,X,X,X,C,,,,,,,,EN,,,,,,
S5 S->PCM,X,X,X,X,X,X,C,C,X,X,O,X,X,X,C,O,C,O,C,X,X,C,C,X,C,X,X,X,X,X,X,X,X,X,X,,,EN,,,,,,,,,,,
Solar Safe,X,X,X,X,X,X,C,C,X,X,O,X,X,X,C,C,C,X,C,X,X,C,O,C,O,C,X,X,X,X,X,X,X,X,X,,,EN,,,,,,,,,,,
Solar Off,X,X,X,X,X,X,C,C,X,X,O,X,X,X,C,C,C,X,C,X,X,C,O,C,O,C,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,C,,C,,,,,,,C,,C,,,,,,,,,,,,,,,,,,,,,,,
B-1,X,X,X,X,X,X,X,X,X,X,X,C,C,O,C,X,C,X,C,O,O,C,X,C,X,C,X,X,X,X,X,X,X,X,X,EN,,,,,,,,,,,,EN,
HP-1 HEAT,X,X,X,X,X,X,X,X,O,C,X,O,C,C,C,X,C,X,C,O,O,C,X,C,X,C,X,X,X,X,X,X,X,X,X,,EN,,,,,EN,,EN,,,,,
HP-2 HEAT,X,X,X,X,X,X,X,X,C,O,X,C,O,C,C,X,C,X,C,O,O,C,X,C,X,C,X,X,X,X,X,X,X,X,X,,EN,,,,,EN,,,,EN,,,
HP-1 COOL,X,X,X,X,X,X,X,X,O,C,X,O,C,C,C,X,C,X,C,O,O,C,X,C,X,C,X,X,X,X,X,X,X,X,X,,EN,,,,,EN,,EN,EN,,,,
HP-2 COOL,X,X,X,X,X,X,X,X,C,O,X,C,O,C,C,X,C,X,C,O,O,C,X,C,X,C,X,X,X,X,X,X,X,X,X,,EN,,,,,EN,,,,,EN,,
,,,,,,,,,,,,,,,C,,C,,,,,,,C,,C,,,,,,,,,,,,,,,,,,,,,,,
BLD-1 MAIN,X,X,X,X,X,X,X,X,X,X,X,X,X,X,C,X,C,X,X,X,X,X,X,C,X,C,C,O,O,C,O,C,X,X,X,,,,EN*,,,,,,,,,,EN
BLD-2 BASE,X,X,X,X,X,X,X,X,X,X,X,X,X,X,C,X,C,X,X,X,X,X,X,C,X,C,C,O,O,C,O,X,O^,X,X,,,,,EN*,,,,,,,,,
BLD-3 PORCH,X,X,X,X,X,X,X,X,X,X,X,X,X,X,C,X,C,X,X,X,X,X,X,C,X,C,C,O,O,C,O,X,X,O^,X,,,,,,EN*,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLD-4 PCM->MAIN,X,X,X,X,X,X,X,X,X,X,X,X,X,X,C,X,C,X,X,X,X,X,X,C,X,C,O,C,C,O,C,C,X,X,X,,,,EN*,,,,,,,,,,EN
BLD-5 PCM->BASE,X,X,X,X,X,X,X,X,X,X,X,X,X,X,C,X,C,X,X,X,X,X,X,C,X,C,O,C,C,O,C,X,O^,X,X,,,,,EN*,,,,,,,,,
BLD-6 PCM->PORCH,X,X,X,X,X,X,X,X,X,X,X,X,X,X,C,X,C,X,X,X,X,X,X,C,X,C,O,C,C,O,C,X,X,O^,X,,,,,,EN*,,,,,,,,
,,,,,,,,,,,,,,,C,,C,,,,,,,C,,C,,,,,,,,,,,,,,,,,,,,,,,
BLD-7 PCM&BUF->MAIN,X,X,X,X,X,X,X,X,X,X,X,X,X,X,C,X,C,X,X,X,X,X,X,C,X,C,O,O,C,C,O,C,X,X,X,,,,EN*,,,,,,,,,,EN
BLD-8 PCM&BUF->BASE,X,X,X,X,X,X,X,X,X,X,X,X,X,X,C,X,C,X,X,X,X,X,X,C,X,C,O,O,C,C,O,X,O^,X,X,,,,,EN*,,,,,,,,,
BLD-9 PCM&BUF->PORCH,X,X,X,X,X,X,X,X,X,X,X,X,X,X,C,X,C,X,X,X,X,X,X,C,X,C,O,O,C,C,O,X,X,O^,X,,,,,,EN*,,,,,,,,
